fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1.0	71024178	2109263	3843910	2456169	100	4.071381081676383e-05
0.7278953843983146	51693577	2004651	3684089	2355309	90	3.821154676520151e-05
0.5298316906283708	37623041	1907437	3511958	2255096	82	3.636208835455342e-05
0.38566204211634725	27386618	1814368	3324968	2152975	73	3.390657113993428e-05
0.2807216203941176	19938977	1721268	3121493	2044938	66	3.227481713382019e-05
0.20433597178569418	14515421	1625261	2899565	1929000	57	2.9548989113530327e-05
0.14873521072935117	10565007	1524174	2660227	1803176	47	2.6065120653779775e-05
0.1082636733874054	7689440	1416254	2405713	1667068	39	2.3394366636513928e-05
0.07880462815669913	5595817	1302098	2138714	1521747	30	1.9714183763792535e-05
0.05736152510448681	4073745	1180520	1864443	1367598	26	1.9011434646730982e-05
0.041753189365604	2965075	1053180	1588460	1206720	16	1.3259082471492973e-05
0.03039195382313198	2158299	921409	1322560	1042832	12	1.1507126747165411e-05
0.02212216291070448	1571340	789572	1076069	881255	5	5.673726673891212e-06
0.01610262027560939	1143654	661489	856852	727856	3	4.121694401090325e-06
0.011721022975334805	833509	542596	670521	588441	3	5.098217153461434e-06
0.008531678524172805	607514	435762	516087	465958	2	4.2922323471214144e-06
0.006210169418915616	441468	342293	391029	361439	0	0.0
0.004520353656360241	321378	265002	293822	276716	0	0.0
0.0032903445623126675	234129	202545	219204	209513	0	0.0
0.002395026619987486	169953	152663	161998	156656	0	0.0
0.0017433288221999873	124110	114692	119843	116944	0	0.0
0.0012689610031679222	90537	85397	88267	86657	0	0.0
0.0009236708571873865	66101	63271	64840	63952	0	0.0
0.0006723357536499335	47923	46407	47237	46771	0	0.0
0.0004893900918477494	34959	34160	34607	34357	0	0.0
0.0003562247890262444	25457	25014	25264	25121	0	0.0
0.0002592943797404667	18581	18348	18473	18407	0	0.0
0.00018873918221350977	13413	13300	13353	13324	0	0.0
0.00013738237958832623	9766	9715	9741	9725	0	0.0
0.0001	7051	7030	7043	7036	0	0.0
