target	fraction	read_pairs	cs_families	ss_families	ds_families	ds_duplexes	ds_fraction_duplexes
1:43960035-43960036	1.0	48314	2269	4356	2837	1321	0.4656327106097991
1:43960035-43960036	0.7278953843983146	35200	2164	4138	2698	1217	0.45107487027427723
1:43960035-43960036	0.5298316906283708	25561	2059	3910	2562	1087	0.4242779078844653
1:43960035-43960036	0.38566204211634725	18644	1956	3688	2437	950	0.38982355354944603
1:43960035-43960036	0.2807216203941176	13590	1838	3424	2289	784	0.3425076452599388
1:43960035-43960036	0.20433597178569418	9910	1702	3123	2131	622	0.29188174565931485
1:43960035-43960036	0.14873521072935117	7172	1552	2768	1947	410	0.2105803800719055
1:43960035-43960036	0.1082636733874054	5243	1406	2416	1770	267	0.15084745762711865
1:43960035-43960036	0.07880462815669913	3749	1235	2051	1562	142	0.09090909090909091
1:43960035-43960036	0.05736152510448681	2707	1081	1684	1349	66	0.04892512972572276
1:43960035-43960036	0.041753189365604	1941	914	1369	1126	25	0.022202486678507993
1:43960035-43960036	0.03039195382313198	1419	781	1085	927	13	0.014023732470334413
1:43960035-43960036	0.02212216291070448	1019	643	840	749	4	0.0053404539385847796
1:43960035-43960036	0.01610262027560939	732	515	633	578	2	0.0034602076124567475
1:43960035-43960036	0.011721022975334805	547	422	500	462	2	0.004329004329004329
1:43960035-43960036	0.008531678524172805	401	326	372	352	2	0.005681818181818182
1:43960035-43960036	0.006210169418915616	279	236	262	250	1	0.004
1:43960035-43960036	0.004520353656360241	204	175	193	184	1	0.005434782608695652
1:43960035-43960036	0.0032903445623126675	157	137	149	141	0	0.0
1:43960035-43960036	0.002395026619987486	115	103	111	106	0	0.0
1:43960035-43960036	0.0017433288221999873	81	78	81	80	0	0.0
1:43960035-43960036	0.0012689610031679222	57	57	57	57	0	0.0
1:43960035-43960036	0.0009236708571873865	37	37	37	37	0	0.0
1:43960035-43960036	0.0006723357536499335	25	25	25	25	0	0.0
1:43960035-43960036	0.0004893900918477494	18	18	18	18	0	0.0
1:43960035-43960036	0.0003562247890262444	12	12	12	12	0	0.0
1:43960035-43960036	0.0002592943797404667	8	8	8	8	0	0.0
1:43960035-43960036	0.00018873918221350977	7	7	7	7	0	0.0
1:43960035-43960036	0.00013738237958832623	6	6	6	6	0	0.0
1:43960035-43960036	0.0001	4	4	4	4	0	0.0
1:2217664-2217665	1.0	44943	2852	5451	3508	1689	0.4814709236031927
1:2217664-2217665	0.7278953843983146	32818	2727	5209	3376	1515	0.4487559241706161
1:2217664-2217665	0.5298316906283708	23893	2594	4948	3242	1318	0.40653917334978407
1:2217664-2217665	0.38566204211634725	17379	2453	4618	3076	1072	0.34850455136540964
1:2217664-2217665	0.2807216203941176	12659	2308	4240	2893	781	0.26996197718631176
1:2217664-2217665	0.20433597178569418	9071	2130	3784	2667	512	0.19197600299962506
1:2217664-2217665	0.14873521072935117	6610	1940	3299	2422	306	0.1263418662262593
1:2217664-2217665	0.1082636733874054	4805	1737	2797	2153	160	0.07431490942870414
1:2217664-2217665	0.07880462815669913	3520	1507	2319	1861	75	0.04030091348737238
1:2217664-2217665	0.05736152510448681	2532	1272	1864	1558	26	0.01668806161745828
1:2217664-2217665	0.041753189365604	1849	1073	1472	1289	13	0.01008533747090768
1:2217664-2217665	0.03039195382313198	1354	884	1151	1047	4	0.0038204393505253103
1:2217664-2217665	0.02212216291070448	978	701	867	811	2	0.002466091245376079
1:2217664-2217665	0.01610262027560939	697	537	635	598	0	0.0
1:2217664-2217665	0.011721022975334805	523	420	484	462	0	0.0
1:2217664-2217665	0.008531678524172805	370	322	356	347	0	0.0
1:2217664-2217665	0.006210169418915616	269	247	266	260	0	0.0
1:2217664-2217665	0.004520353656360241	203	188	202	197	0	0.0
1:2217664-2217665	0.0032903445623126675	154	145	153	151	0	0.0
1:2217664-2217665	0.002395026619987486	115	109	115	113	0	0.0
1:2217664-2217665	0.0017433288221999873	90	85	90	89	0	0.0
1:2217664-2217665	0.0012689610031679222	66	64	66	65	0	0.0
1:2217664-2217665	0.0009236708571873865	49	49	49	49	0	0.0
1:2217664-2217665	0.0006723357536499335	35	35	35	35	0	0.0
1:2217664-2217665	0.0004893900918477494	29	29	29	29	0	0.0
1:2217664-2217665	0.0003562247890262444	23	23	23	23	0	0.0
1:2217664-2217665	0.0002592943797404667	15	15	15	15	0	0.0
1:2217664-2217665	0.00018873918221350977	8	8	8	8	0	0.0
